Category,Company Name
Core Companies,St1 Power-to-Methanol Plant
Core Companies,Finnsementti
Core Companies,Neste Oyj
Core Companies,UPM Biofuels
Core Companies,Fortum
Raw Material Providers,Aker Carbon Capture
Raw Material Providers,Woikoski Oy
Raw Material Providers,AGA Gas AB
Raw Material Providers,Oy Woikoski Ab
Raw Material Providers,Linde Gas
Key Customers,Teboil
Key Customers,ABC Stations
Key Customers,Neste Oil Retail
Key Customers,Shell Finland
Key Customers,Esso Finland
Related Companies,Helen Ltd (Electricity)
Related Companies,Vesi Lappeenranta (Water)
Related Companies,Finnish Energy (Steam)
Related Companies,Suomen Hyötytuuli Oy
Related Companies,Vapo Oy
Service Providers,Sweco Finland
Service Providers,Pöyry (AFRY)
Service Providers,Ramboll Finland
Service Providers,Wärtsilä
Service Providers,Konecranes
Public Authorities,Finnish Ministry of Economic Affairs and Employment
Public Authorities,City of Lappeenranta
Public Authorities,Finnish Transport and Communications Agency
Public Authorities,Finnish Environment Institute
Public Authorities,Business Finland
Research Partners,LUT University
Research Partners,VTT Technical Research Centre of Finland
Research Partners,Aalto University
Research Partners,University of Helsinki
Research Partners,University of Oulu
Financiers,Finnvera
Financiers,Nordea Bank Finland
Financiers,OP Financial Group
Financiers,Danske Bank Finland
Financiers,Handelsbanken Finland
Technology Suppliers,Valmet
Technology Suppliers,Metso Outotec
Technology Suppliers,ABB Finland
Technology Suppliers,Andritz Oy
Technology Suppliers,Kemira
